Date Started,Who am I,Rating for Cust Care,Was your issue resolved?,Contact Customer?,Comments about Customer Care,Rating for eVA,Comments about eVA Overall,Who worked on your issue
1/24/2019,Vendor,5,Yes,No,It was very quick and easy.,5,[No Answer Entered],"Jennifer, Specialist"
1/24/2019,Buyer,5,Yes,No,The customer care rep. was very helpful and very patient with my requests.,5,very satisfied with my experience with the eVA rep.,"Devyonne, Specialist"
1/24/2019,Buyer,5,No,No,We had EP and VDC said it was in composing and had not received.  I told them that it had gone thru OK and maybe they will call.  No news from them yet.,5,[No Answer Entered],"Portia, Specialist"
1/24/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
1/24/2019,Vendor,5,Yes,No,Jennifer was very helpful and resolved my question.,5,I just contacted the customer care phone number,"Jennifer, Specialist"
1/24/2019,Vendor,5,Yes,No,Jo Ann was great!!,5,[No Answer Entered],"Joann, Specialist"
1/24/2019,SWaM (SBSD),5,Yes,No,The individual who took my call was very helpful and professionally driven.,5,I sincerely appreciate eVA's Staff professional help in speaking with this office.,"Miranda, Specialist"
1/24/2019,Vendor,5,Yes,No,I spoke with Portia and she was very helpful and extremely polite.,5,It was a very pleasant experience.,"Portia, Specialist"
1/24/2019,Vendor,5,Yes,No,"The young lady was extremely helpful, going beyond expectations. She provided information and assistance in areas I was not aware I  needed.",5,Very easy site to navigate,"Jennifer, Specialist"
1/24/2019,Vendor,5,Yes,No,[No Answer Entered],5,[No Answer Entered],"Miranda, Specialist"
1/24/2019,Vendor,5,Yes,No,Excellent and I was being fairly dense about the whole thing but she patiently guided me through it.,3,[No Answer Entered],"Joann, Specialist"
1/24/2019,Vendor,5,Yes,No,The service we received was absolutely superb! It could not have been any better!,5,I am sorry I did not remember the young lady's name but she was GREAT! So helpful and so professional. We are most appreciative! You are lucky to have this young lady working for you!,"Natasha, Lead"
