Date Started,Who am I,Rating,Was your issue resolved,Comments,Who worked on your issue
11/20/2018,Vendor,5,Yes,[No Answer Entered],"Sherry, Specialist"
11/20/2018,SWaM,5,Yes,I received excellent patient service.,"Portia, Specialist"
11/20/2018,Buyer,5,Yes,very prompt and helpful,"Miranda, Specialist"
11/20/2018,Buyer,5,Yes,Thanks so much all of your help in getting this solved so quickly.,"Miranda, Specialist"
11/20/2018,Buyer,5,Yes,Thanks for helping me resolve my issue!,"Joann, Specialist"
11/20/2018,Vendor,5,Yes,Very helpful and really timely response.,"Teresa, Analyst"
11/20/2018,Vendor,5,Yes,"I had a great experience! The customer service representative was outstanding. I was having trouble accessing our vendor account and she walked me through a series of steps that enabled me to identify the problem and fix it within minutes. I am very happy! (Note: I think it was ""Sherry"" but am not 100% certain.)","Devyonne, Specialist"
11/20/2018,Vendor,5,Yes,Customer service rep was very polite and knew exactly why I was having an issue.  She was very helpful.,"Jennifer, Specialist"
11/20/2018,Vendor,5,Yes,Very helpful,"Jennifer, Specialist"
11/20/2018,Vendor,5,Yes,Excellent! Your rep walked me through the entire process and answered all my questions!,"Devyonne, Specialist"
11/20/2018,Vendor,5,Yes,Great Job!,"Joann, Specialist"
11/19/2018,Vendor,5,Yes,[No Answer Entered],"Miranda, Specialist"
11/19/2018,Buyer,2,No,[No Answer Entered],"Sherry, Specialist"
11/19/2018,Buyer,5,Yes,[No Answer Entered],"Joann, Specialist"
11/19/2018,Vendor,5,Yes,[No Answer Entered],"Joann, Specialist"
11/19/2018,Vendor,5,Yes,[No Answer Entered],"Jennifer, Specialist"
11/19/2018,Vendor,4,Yes,"I received an email stating that I should call eVA customer care to provide my Ariba number...and that I would not need my DUNS number.   When I called, I was told to go on-line to set up the eVA and Ariba connection.  My DUNS number was requested in the on-line form. It seems the step of calling eVA could have been avoided?

Thank you.","Jennifer, Specialist"
11/19/2018,Buyer,3,Yes,"Mel was very helpful but it was frustrating for us trying to get through the Sourcing & Contract process in order to post an Intent to Award.  We spent a total of about 3.5 hours over the course of two phone calls trying to accomplish this task and it felt like the blind leading the blind.  Jamel was very helpful and we we tried everything but each time we did something it caused an error message, which was very frustrating.  This module is NOT user friendly.","Jamel, Lead"
11/19/2018,SWaM,5,Yes,The young lady was so patience and helpful. Did not get upset when I couldn't find something. Patiently direct me to the site. Very pleasant.,"Sherry, Specialist"
11/19/2018,Buyer,5,Yes,The representative was very pleasant and helpful.,"Portia, Specialist"
11/19/2018,Vendor,5,Yes,"Customer service representative gave outstanding service, and was able to resolve my issue. A real asset to your service team. 

Unfortunately I cannot remember her name, I am terrible when it comes to remembering names","Portia, Specialist"
11/19/2018,Vendor,5,Yes,"Today's EVA representative was so helpful,kind, patient and knowledgeable.  I'd give her 5 stars! :)","Miranda, Specialist"
11/19/2018,Vendor,5,Yes,The person I spoke with was very polite and helpful.,"Miranda, Specialist"
11/19/2018,Vendor,5,Yes,The representative I spoke with was very helpful and pleasant.,"Miranda, Specialist"
